Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Desenvolvimento de rotores de alta eficiência para processamento economicamente sustentável de resíduos sólidos urbanos;;;Sofien Soluções Tecnológicas para Agroindústria Ltda;Campinas;;Interdisciplinar;;;Fertilizantes:Lodo de esgoto:Compostagem:Tratamento de esgotos sanitários:Gerenciamento de resíduos:Resíduos urbanos; 
Sistema de Controle de Irrigação Inteligente com Monitoramento do Solo 4.0 (SCI-MS) - Sonda ITS-3D-Probe;;;ITS Integração Tecnologia e Soluções em Informática Ltda;São Paulo;;Ciências Agrárias;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Agricultura:Agricultura de precisão:Modernização da agricultura:Irrigação agrícola:Métodos de irrigação:Monitoração dos solos; 
Desenvolvimento de biocomposto para remediação de áreas impactadas por contaminantes: otimização do processo e aumento da abrangência na aplicação;;;;;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Remediação ambiental:Poluição do solo:Metais tóxicos:Ecotoxicologia; 
Desenvolvimento de rotores de alta eficiência para processamento economicamente sustentável de resíduos sólidos urbanos;;;;;;Interdisciplinar;;;Biomassa:Rotor:Resíduos urbanos:Sustentabilidade:Compostagem:Fertilizantes:Lodo de esgoto:Método dos elementos discretos; 
Atividades de engenharia do projeto “Dispositivos médicos à base de colágeno produzidos em biorreatores”;;;;;;Engenharias;Engenharia Elétrica;;Engenharia tecidual:Dispositivos e instrumentos médicos:Colágeno:Biofabricação:Reatores biológicos; 
Análise genômica de parasitos da subfamília Leishmaniinae isolados de casos de Leishmaniose visceral humana;Universidade Federal de São Carlos (UFSCAR). Centro de Ciências Biológicas e da Saúde (CCBS);São Carlos;;;;Ciências Biológicas;Parasitologia;Protozoologia de Parasitos;Biologia computacional:Protozoologia:Leishmaniose visceral:Leishmania infantum:Sequenciamento completo do genoma:Biblioteca genômica:Estudo comparativo; 
Geração de biofármacos para tratamento de doenças dermatológicas;;;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Desenvolvimento de fármacos:Preparações farmacêuticas:Biofármacos:Dermatopatias:Síndrome de Netherton:Psoríase:Dermatite atópica:Calicreínas teciduais:Anticorpos de cadeia única; 
Determinação de parâmetros estelares para estrelas do S-PLUS através do ajuste de espectros sintéticos;Universidade de São Paulo (USP). Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG);São Paulo;;;;Ciências Exatas e da Terra;Astronomia;Astrofísica Estelar;Astrofísica estelar:Metalicidade:Calibração:S-plus:Espectros:Fotometria:Levantamento astronômico; 
Desenvolvimento de um chip de DNA para o incremento da produtividade em cativeiro de garoupa-verdadeira: uma importante espécie marinha da costa brasileira;;;Ecomol Consultoria e Projetos Ltda. - ME;Amparo;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura;Genômica:Melhoramento genético animal:Polimorfismo de um único nucleotídeo:Maricultura:Criação em cativeiro:Garoupa:Epinephelus marginatus; 
Produção recombinante de uma miraculina de citrus em sistema de expressão Pichia pastoris para desenvolvimento de adoçantes industriais;;;DMN Justino Ltda;São Carlos;;Ciências Biológicas;Bioquímica;Biologia Molecular;Biotecnologia:Purificação de proteínas:Proteínas recombinantes:Adoçantes:Pichia pastoris:Sapotaceae; 
Desenvolvimento de novos bio-herbicidas a partir de amidas naturais;;;Green Compounds Ativos Naturais Ltda;São Paulo;;Ciências Exatas e da Terra;Química;Química Orgânica;Biodiversidade:Alelopatia:Produtos naturais:Herbicidas:Piperaceae:Amidas:Agrotóxicos; 
Desenvolvimento de operação unitária sob condições de fluxo contínuo para produção de um fármaco de alta potência;;;Fluxofarma Pesquisa e Desenvolvimento Ltda;São Paulo;;Ciências Exatas e da Terra;Química;Química Orgânica;Farmacologia:Síntese de fármacos:Fármacos:Boas práticas de fabricação:Estrona:Etinilestradiol; 
Suinos 4.0 - Sistema de pesagem de suínos por imagens;;;Dorileo Soluções em Visão Computacional Ltda;Indaiatuba;;Ciências Exatas e da Terra;Ciência da Computação;;Bem-estar do animal:Estresse em animal:Suínos:Rebanho:Processamento de imagens:Pesos e medidas corporais; 
Desenvolvimento de dispositivos a plasma frio para processos de esterilização, incorporação de nanopartículas e de substâncias repelentes em substratos têxteis;;;Technognoscis Serviços de Engenharia Ltda;São Paulo;;Engenharias;Engenharia Química;Tecnologia Química;Medicina:Nanopartículas:Bioimpressão tridimensional:Eletrofiação:Polimerização:Repelentes; 
Otimização do processo de produção e tempo de prateleira da farinha do resíduo de tomate orgânico como ingrediente funcional;;;Agroecovida Indústria e Pesquisa em Alimentos Ltda;São Paulo;;Interdisciplinar;;;Engenharia de alimentos:Tecnologia de alimentos:Nutrição:Alimentos funcionais:Resíduos agrícolas:Farinhas:Tomate; 
Desenvolvimento de um dosímetro eletrônico para monitoração ocupacional em tempo real das doses de radiação em procedimentos de radiologia intervencionista;;;Konex Indústria e Comércio Ltda;São Paulo;;Ciências da Saúde;Medicina;Radiologia Médica;Física médica:Dosimetria:Detectores de raios X:Radiologia intervencionista; 
Aditivos micro/nanoestruturados e masterbatches pigmentado ou não de reforço mecânico para o setor de plásticos;;;Bevi Plastic Artefatos Plásticos Ltda;Mairinque;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Polímeros:Aditivos:Materiais compósitos:Materiais nanoestruturados; 
Prova de conceito da produção de celulose bacteriana contendo um peptídeo natural com performance antimicrobiana e antioxidante superior;;;Angela Faustino Jozala;Sorocaba;;Engenharias;Engenharia Química;;Celulose bacteriana:Nisina:Produção:Peptídeos:Peptídeos catiônicos antimicrobianos:Antioxidantes:Bioprodutos; 
Escoamento turbulento sobre um leito granular deformado: determinação experimental;Universidade Estadual de Campinas (UNICAMP). Faculdade de Engenharia Mecânica (FEM);Campinas;;;;Engenharias;Engenharia Mecânica;Fenômenos de Transportes;Mecânica dos fluidos:Instabilidade hidrodinâmica:Camada limite:Turbulência:Leito móvel:Dunas; 
Desenvolvimento de dispositivos a plasma frio para processos de esterilização, incorporação de nanopartículas e de substâncias repelentes em substratos têxteis;;;;;;Engenharias;Engenharia Química;Tecnologia Química;Esterilização:Plasma frio:Nanopartículas:Eletrofiação:Bioimpressão tridimensional:Repelentes:Permetrina:Equipamento de proteção individual:Doenças negligenciadas; 
Gerenciamento de dados de ensaios clínicos no projeto de Neuromodulação de Precisão Não Implantável usando REDcap;Universidade de São Paulo (USP). Hospital Universitário (HU);São Paulo;;;;Ciências da Saúde;Medicina;Psiquiatria;Neuromodulação:Depressão:Ensaio clínico:Gestão de dados de pesquisa; 
Produção recombinante de uma miraculina de citrus em sistema de expressão Pichia pastoris para desenvolvimento de adoçantes industriais;;;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Pichia pastoris:Adoçantes:Proteínas recombinantes:Análise sensorial:Espectrometria de massas:Citotoxicidade; 
Otimização dos parâmetros para detecção ocular e facial EyeTalk;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Visão computacional:Aplicativos móveis:Tecnologia de rastreamento ocular:Reconhecimento facial automatizado:Paralisia facial:Transtorno fonológico; 
Desenvolvimento de peletizadora a frio para processamento de matérias-primas termossensíveis: uma aplicação para a pós-colheita de lúpulo;;;;;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas;Pós-colheita:Lúpulo:Peletização:Refrigeração:Agricultura familiar:Cerveja; 
Suinos 4.0: sistema de pesagem de suínos por imagens;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Pesquisa e desenvolvimento:Disciplinas das ciências naturais:Bem-estar do animal:Suínos:Pesos e medidas corporais:Análise de imagens:Dispositivos móveis:Vídeo; 
Desenvolvimento de experimentos didáticos utilizando temas da Astrobiologia;;;;;;Ciências Humanas;Educação;Ensino-aprendizagem;Ensino médio:Ensino de ciências:Ambiente virtual de aprendizagem:Plataformas de ensino e aprendizagem:Experimentos científicos:Exobiologia; 
Auto Estufa-Desenvolvimento Sistemas: Estufa para cultivo urbano com sistema de controle de irrigação e iluminação automatizado;;;;;;Ciências Sociais Aplicadas;Desenho Industrial;Desenho de Produto;Cultivo protegido:Iluminação:Internet das coisas:Irrigação:Automatização; 
Gerenciamento de Saúde Populacional: Desenvolvimento de Sistema Computacional de Análise Semiautomatizada para Estimar o Risco de Saúde Individual e Seus Custos Futuros;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Automação:Back-end; 
Auto Estufa: estufa para cultivo urbano com sistema de controle de irrigação e iluminação automatizado;;;;;;Ciências Sociais Aplicadas;Desenho Industrial;Desenho de Produto;Irrigação agrícola:Iluminação:Estufas:Automação inteligente:Cultivo de plantas:Cultivo protegido:Sistemas de controle:Sistemas de tempo-real; 
Composição e evolução do veneno de serpentes da tribo Hydropsini;Secretaria da Saúde (São Paulo - Estado). Instituto Butantan;São Paulo;;;;Ciências Biológicas;Genética;Genética Animal;Evolução molecular:Serpentes:Toxinas:Transcriptoma:Venenos:Toxicologia:Dipsadidae; 
Certificação Brazil Beef Quality: padronização de carnes bovinas para palatabilidade;;;;;;Ciências Agrárias;Zootecnia;;Produtos agropecuários:Carne bovina:Qualidade da carne:Palatabilidade:Análise sensorial de alimentos:Certificação de qualidade; 
Desenvolvimento de plataforma para cultivos celulares em dispositivos de microfluídica;;;;;;Interdisciplinar;;;Bioengenharia:Neoplasias:Cultura de células:Microfluídica:Dispositivos lab-on-a-chip:Medicina de precisão; 
Estudo experimental sobre a caracterização acurada do substrato atrial epicárdico durante a fibrilação atrial;Ministério da Educação (Brasil). Universidade Federal do ABC (UFABC). Centro de Engenharia, Modelagem e Ciências Sociais Aplicadas (CECS);Santo André;;;;Engenharias;Engenharia Biomédica;Bioengenharia;Cardiologia:Eletrofisiologia cardíaca:Fibrilação atrial:Estimulação elétrica:Preparação de coração isolado:Experimentação animal; 
Sistema Portátil para Avaliação Não Destrutiva de Materiais via Termografia Ativa;;;;;;Engenharias;Engenharia Mecânica;Engenharia Térmica;Inteligência artificial:Materiais:Ensaios não destrutivos:Inspeção; 
Nanomateriais biodegradáveis filtrantes para aplicações em máscaras faciais protetivas;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Materiais nanoestruturados:Nanotecnologia:Vírus:Máscaras faciais:Nanofibras:Polímeros (materiais):Óxido de grafeno:Nanopartículas de prata:Eletrofiação; 
Sistema portátil para avaliação não destrutiva de materiais via termografia ativa;;;;;;Engenharias;Engenharia Mecânica;Engenharia Térmica;Ensaios não destrutivos:Avaliação:Materiais compósitos:Inteligência artificial:Termografia; 
Recuperação do elemento índio de resíduos tecnológicos: prospecção de informações e viabilidade econômica;;;;;;Ciências Exatas e da Terra;Química;Química Analítica;Espectroanalítica:Índio (elemento químico):Resíduos de equipamentos eletroeletrônicos:LCD:Reciclagem:Viabilidade econômica:Economia circular:Logística reversa; 
Sistema portátil para avaliação não destrutiva de materiais via termografia ativa;;;Subiter Tecnologia Ltda;São José dos Campos;;Engenharias;Engenharia Mecânica;Engenharia Térmica;Inteligência artificial:Ensaios não destrutivos:Materiais:Termografia:Visão computacional; 
Nanomateriais biodegradáveis filtrantes para aplicações em máscaras faciais protetivas;;;Protech Pesquisa e Desenvolvimento Ltda;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanociência:Nanotecnologia:Materiais nanoestruturados:Nanopartículas de prata:Óxido de grafeno:Polimerização:Saúde pública; 
Recuperação do elemento Índio de resíduos tecnológicos: prospecção de informações e viabilidade econômica;;;SG Soluções Científicas Ltda;São Carlos;;Ciências Exatas e da Terra;Química;Química Analítica;Economia circular:Espectroanalítica:Logística reversa:Reciclagem:Índio (elemento químico):Óxido de estanho:Aproveitamento de subprodutos:Resíduos de equipamentos eletroeletrônicos; 
"Aprimoramento do eyeTalk"""": interface de usuário para escrita e comunicação utilizando comandos oculares e faciais para dispositivos móveis";;;Acta Visio Desenvolvimento em Visão Computacional Ltda;Campinas;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Visão computacional:Dispositivos móveis:Interface usuário-computador:Pessoas com deficiência:Acessibilidade:Reconhecimento facial:Comunicação:Escrita; 
Equipamento oftalmológico com inteligência artificial para detecção precoce de ceratocone por meio de medidas da córnea, utilizando Topografia de Plácido e Tomografia de Scheimpflug;;;JTAG PECAS E EQUIPAMENTOS MEDICOS LTDA;São Carlos;;Engenharias;Engenharia Biomédica;Engenharia Médica;Inteligência artificial:Visão computacional:Diagnóstico precoce:Oftalmologia:Ceratocone:Equipamentos oftalmológicos:Topografia da córnea; 
Desenvolvimento de peletizadora a frio para processamento de matérias-primas termossensíveis: uma aplicação para a pós-colheita de lúpulo;;;Aureliano Agostinho Dias Meirelles;Campinas;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas;Agricultura familiar:Polímeros termossensíveis:Terpenos:Peletização:Microgrânulos:Pós-colheita:Lúpulo:Cerveja; 
Mob Livre - sistema de compartilhamento de micro mobilidade para pessoas com deficiência e mobilidade reduzida;;;Livre Montagem de Produtos Assistivos S/A;São José dos Campos;;Engenharias;Engenharia de Transportes;Veículos e Equipamentos de Controle;Tecnologia assistiva:Telemetria:Mobilidade:Acessibilidade:Locomoção:Pessoas com deficiência:Plataforma (computação):Cadeira de rodas; 
Auto Estufa:  estufa para cultivo urbano com sistema de controle de irrigação e iluminação automatizado;;;Rainer Grassmann;Campo Limpo Paulista;;Ciências Sociais Aplicadas;Desenho Industrial;Desenho de Produto;Cultivo protegido:Iluminação:Irrigação agrícola:Automação:Internet das coisas:Sistemas de controle:Estufas; 
Produção de biofertilizante líquido por meio da vermicompostagem de resíduos orgânicos;;;Dungtech Biofertilizantes Ltda;Santa Bárbara D'Oeste;;Ciências Agrárias;Agronomia;Ciência do Solo;Microbiologia agrícola:Fertilizantes biológicos:Vermicompostagem:Condicionadores do solo:Resíduos orgânicos:Minhocas; 
Ecologia molecular e biodiversidade do grupo Roseobacter no Atlântico Sudoeste;Universidade de São Paulo (USP). Instituto Oceanográfico (IO);São Paulo;;;;Ciências Exatas e da Terra;Oceanografia;Oceanografia Biológica;Biodiversidade:Ecologia molecular:Taxonomia dos grupos recentes:Ecossistemas marinhos:Micro-organismos aquáticos:Metagenoma:Microbiota:Roseobacter:Região hidrográfica do Atlântico Sudeste:Oceanos e mares:Recursos marinhos; 
Desenvolvimento de sistema para coleta seletiva e de resíduos de construção civil, ampliando a inclusão social dos catadores e programa de renda sustentável;;;Você Recicla do Brasil Tecnologia Ltda;Pindamonhangaba;;Interdisciplinar;;;Economia circular:Design ecológico:Inclusão social:Catadores:Logística reversa:Reciclagem:Resíduos sólidos:Resíduos de construção:Coleta seletiva:Cidades inteligentes; 
Desenvolvimento de um chip de DNA para o incremento da produtividade em cativeiro de garoupa-verdadeira: uma importante espécie marinha da costa brasileira;;;Ecomol Consultoria e Projetos Ltda. - ME;Amparo;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura;Genômica:Melhoramento genético:Melhoramento genético animal:Polimorfismo de um único nucleotídeo:DNA:Maricultura:Criação em cativeiro:Garoupa:Epinephelus marginatus; 
Monitoramento automatizado de recursos hídricos para detecção de macrófitas por meio de técnicas de visão computacional e modelos bio-ópticos com integração de imagens multiespectrais de satélite e de drone;;;Inspectral Soluções Inovadoras em Tecnologia da Informação Espacial;Presidente Prudente;;Ciências Exatas e da Terra;Geociências;;Inteligência artificial:Visão computacional:Classificação de imagens:Sensoriamento remoto:Recursos hídricos:Macrófitas; 
Cromai e sistema de diagnóstico agrícola: diagnóstico de maturação de café e de desenvolvimento das plantas em diferentes culturas a partir da análise da visão computacional;;;Cromai Tecnologias Agrícolas Ltda;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Agricultura de precisão:Agricultura digital:Inteligência artificial:Visão computacional:Doenças de plantas:Pragas de plantas; 
Desenvolvimento de aplicativo de dispositivos móveis para cálculo de parâmetros biométricos para montagem de lentes oftálmicas;;;Optarium Comércio de Artigos de Ótica Eireli - ME;Campinas;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Visão computacional:Biometria:Desenvolvimento de software:Aplicativos móveis:Oftalmologia:Equipamentos oftalmológicos:Óculos; 
Cromai e sistema de diagnóstico agrícola: diagnóstico de maturação de café e de desenvolvimento das plantas em diferentes culturas a partir da análise da visão computacional;;;Cromai Tecnologias Agrícolas Ltda;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Agricultura de precisão:Agricultura digital:Inteligência artificial:Visão computacional:Maturação de alimentos:Café; 
Transformação genética de milho e de Arabidopsis thaliana para avaliação funcional de genes para tolerância a estresses abióticos;Universidade Estadual de Campinas (UNICAMP). Centro de Biologia Molecular e Engenharia Genética (CBMEG);Campinas;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Biotecnologia:Transformação genética:Milho:Arabidopsis thaliana:Genômica funcional:Estresse abiótico:Hipóxia:Secas; 
Desenvolvimento de operação unitária sob condições de fluxo contínuo para produção de um fármaco de alta potência;;;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Síntese de fármacos:Boas práticas de fabricação:Fluxo contínuo:Produção de substâncias, produtos e materiais:Fármacos:Etinilestradiol:Etilenodiaminas:Estrona; 
Desenvolvimento de novos bio-herbicidas a partir de amidas naturais;;;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Química de produtos naturais:Desenvolvimento de fármacos:Herbicidas:Amidas:Piper:Biodiversidade:Fitotoxicidade:Alelopatia; 
Gerenciamento de Saude Populacional: Desenvolvimento de Sistema Computacional de Analise Semiautomatizada para Estimar o Risco de Saude Individual e Seus Custos Futuros;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Automação:Front-end; 
Auto estufa-informática: estufa para cultivo urbano com sistema de controle de irrigação e iluminação automatizado;;;;;;Ciências Sociais Aplicadas;Desenho Industrial;Desenho de Produto;Cultivo protegido:Irrigação agrícola:Estufas:Automação:Iluminação:Internet das coisas; 
Auto estufa-hardware: estufa para cultivo urbano com sistema de controle de irrigação e iluminação automatizado;;;;;;Ciências Sociais Aplicadas;Desenho Industrial;Desenho de Produto;Cultivo protegido:Irrigação agrícola:Estufas:Automação:Iluminação:Internet das coisas; 
Produção de biofertilizante líquido por meio da vermicompostagem de resíduos orgânicos;;;;;;Ciências Agrárias;Agronomia;Ciência do Solo;Microbiologia agrícola:Reciclagem:Vermicompostagem:Resíduos orgânicos:Propriedade rural:Produtividade:Qualidade do solo:Fertilizantes biológicos:Redução de custos:Produtores rurais; 
Sistema Portátil para Avaliação Não Destrutiva de Materiais via Termografia Ativa;;;;;;Engenharias;Engenharia Mecânica;Engenharia Térmica;Inteligência artificial:Materiais:Ensaios não destrutivos:Inspeção; 
Bacteriófagos líticos como substitutos para antibióticos utilizados como promotores de crescimento na produção comercial de suínos;;;Genobiomas Biotecnologia Ltda;São Paulo;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Virologia:Antibióticos:Bacteriófagos:Escherichia coli:Mycoplasma hyopneumoniae:Salmonella:Suinocultura:Suínos:Agronegócio; 
OxyGen - desenvolvimento de eletrolisadores do tipo PEM para a produção autônoma de oxigênio para alimentar respiradores pulmonares;;;Eletroquímica São Carlos Ltda;São Carlos;;Ciências Exatas e da Terra;Química;Físico-química;Eletroquímica:Eletrólise:Eletrolisador:Oxigênio:Respiradores mecânicos; 
Produção de biomassa de Hypnea pseudomusciformis (Rhodophyta) para indústria de bioestimulantes de crescimento vegetal aplicados à agricultura;;;Oseas de Paula Ribeiro - ME;São Paulo;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura;Aquicultura:Algicultura:Crescimento vegetal:Bioestimulantes vegetais:Biomassa:Domesticação:Micropropagação vegetal:Produção de mudas:Macroalgas:Hypnea pseudomusciformis; 
Placas de concreto leve a base de óxido de magnésio para aplicação em sistemas construtivos a seco;;;Comptest Engenharia Ltda;São Carlos;;Engenharias;Engenharia Civil;Construção Civil;Materiais de construção:Concreto leve:Cimento:Placas (engenharia civil):Óxido de magnésio:Sistemas e processos construtivos; 
Dispositivo eletrônico para avaliação em condições de vida livre do conforto térmico e do bem-estar animal;;;Developnow Projetos de Software e Eletrônica Ltda. - ME;São Carlos;;Interdisciplinar;;;Bem-estar do animal:Conforto térmico:Estresse térmico:Dispositivos móveis:Dispositivos eletrônicos:Bluetooth; 
Produção de componentes cerâmicos para bombas centrífugas;;;Andre Almeida Silva;São Paulo;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Sinterização:Usinagem:Conformação mecânica:Zircônia:Alumina:Materiais cerâmicos:Bombas centrífugas; 
Antichagásico potencial: planejamento e síntese de híbrido molecular de inibidor das enzimas Fe-syperóxido dismutase e CYP51 com liberador de óxido nítrico;Universidade de São Paulo (USP). Faculdade de Ciências Farmacêuticas (FCF);São Paulo;;;;Ciências da Saúde;Farmácia;;Química farmacêutica:Doença de Chagas:Óxido nítrico:Tripanossomicidas; 
Estudo de métodos de controle da condutância térmica de tubos de calor pulsante;Universidade de São Paulo (USP). Escola de Engenharia de São Carlos (EESC);São Carlos;;;;Engenharias;Engenharia Mecânica;Engenharia Térmica;Engenharia térmica:Desempenho térmico:Mudança de fase:Condensação:Controle:Evaporação:Termorresistência:Regulador de condutância transmembrana em fibrose cística; 
Desenvolvimento de um pipeline universal para análise de contexto genômico de dados de diferentes fontes.;Universidade de São Paulo (USP). Instituto de Ciências Biomédicas (ICB);São Paulo;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Sintenia:Toxinas:Biologia computacional:Bioinformática; 
OxyGen: desenvolvimento de eletrolisadores do tipo PEM para a produção autônoma de oxigênio para alimentar respiradores pulmonares;;;;;;Ciências Exatas e da Terra;Química;Físico-química;Eletroquímica:Eletrolisador:Ventiladores mecânicos:Oxigênio; 
Desenvolvimento de sistema enzimático com tecnologia de permeação para proteção antioxidante de células da pele;;;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Bioquímica:Absorção cutânea:Células epidérmicas:Enzimas antioxidantes:Fungos filamentosos:Trichoderma reesei:Estresse oxidativo:Dermocosméticos; 
Qualificador individual de frutos e hortaliças pela avaliação da conformidade do perfil, teor de umidade e teor de sólidos solúveis (açucares);;;;;;Ciências Agrárias;Engenharia Agrícola;Construções Rurais e Ambiência;Ultrassom:Análise de imagens:Imagem digital:Frutas:Hortaliças:Avaliação da conformidade:Umidade:Açúcares:Qualidade do produto:Seleção genética; 
Caracterização de um sensor de vazão de gás úmido baseado na propagação de sinais acústicos de baixa frequência;Universidade de São Paulo (USP). Escola de Engenharia de São Carlos (EESC);São Carlos;;;;Engenharias;Engenharia Mecânica;Fenômenos de Transportes;Aeroacústica:Escoamento bifásico:Vibrações:Fenômenos de transporte:Densidade espectral:Processamento digital de sinais:Processamento de sinais acústicos; 
Desenvolvimento de sistema enzimático com tecnologia de permeação para proteção antioxidante de células da pele;;;Skinzymes Biotecnologia Ltda;São Paulo;;Ciências Biológicas;Bioquímica;Biologia Molecular;Biotecnologia:Enzimas antioxidantes:Antioxidantes:Estresse oxidativo:Espécies de oxigênio reativas:Trichoderma reesei:Permeação em gel:Pele:Envelhecimento da pele:Dermocosméticos; 
Busca de metabólitos bioativos com ação antiparasitária em espécies vegetais de regiões de Mata Atlântica e Cerrado - uma abordagem química, fenotípica e metabolômica;Ministério da Educação (Brasil). Universidade Federal do ABC (UFABC). Centro de Ciências Naturais e Humanas (CCNH);Santo André;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Farmacologia:Metabolômica:Química de produtos naturais:Antiparasitários:Desreplicação:Compostos bioativos; 
Desenvolvimento de plataforma para cultivos celulares em dispositivos de microfluídica;;;Bioptamers Pesquisa e Desenvolvimento Ltda;São Paulo;;Interdisciplinar;;;Medicina:Neoplasias:Tratamento do câncer:Paciente oncológico:Cultura de células:Microfluídica:Aptâmeros de nucleotídeos; 
Uma investigação sistemática da atividade de retrocópias de genes codificadores em primatas e roedores;Sociedade Beneficente de Senhoras (SBSHSL). Hospital Sírio-Libanês;São Paulo;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Biologia computacional:Retroelementos:Expressão gênica:Genômica:Genes codificadores:Primatas:Roedores; 
Bacteriófagos líticos como substitutos para antibióticos utilizados como promotores de crescimento na produção comercial de suínos;;;;;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Virologia:Suinocultura:Bacteriófagos:Antibióticos:Escherichia coli:Salmonella:Suínos; 
Produção de biomassa de Hypnea pseudomusciformis (Rhodophyta) para indústria de bioestimulantes de crescimento vegetal aplicados à Agricultura;;;;;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura;Algicultura:Biomassa:Macroalgas:Hypnea pseudomusciformis:Rhodophyta:Bioestimulantes vegetais:Produção de mudas; 
YACON-BR:Ingredientes para sabor e vida saudável;;;;;;Engenharias;Engenharia Química;Processos Industriais de Engenharia Química;Prebióticos:Yacon; 
YACON-BR: Ingredientes para sabor e vida saudável.;;;;;;Engenharias;Engenharia Química;Processos Industriais de Engenharia Química;Prebióticos:Yacon; 
Placas de concreto leve a base de óxido de magnésio para aplicação em sistemas construtivos a seco;;;;;;Engenharias;Engenharia Civil;Construção Civil;Materiais de construção:Concreto leve:Placas (engenharia civil):Óxido de magnésio:Cimento Portland:Concreto de cimento Portland:Isolamento térmico:Isolamento acústico:Conforto ambiental; 
Dispositivo eletrônico para avaliação em condições de vida livre do conforto térmico e do título bem-estar animal;;;;;;Interdisciplinar;;;Monitoramento:Dispositivos eletrônicos:Bem-estar do animal:Conforto térmico:Estresse térmico:Taxa respiratória; 
Desenvolvimento de catalisadores heterogêneos hierarquicamente estruturados com estrutura cristalográfica mista para potencial produção de ácido levulínico derivado de biomassa;Universidade Estadual Paulista (UNESP). Campus de São José do Rio Preto. Instituto de Biociências, Letras e Ciências Exatas (IBILCE);São José do Rio Preto;;;;Engenharias;Engenharia Química;Tecnologia Química;Catalisadores heterogêneos:Bioenergia:Biomassa:Estrutura cristalográfica:Ácidos levulínicos:Piperidinas:Organossilanos:Difração por raios X:Espectroscopia de infravermelho com transformada de Fourier:Microscopia eletrônica de varredura:Microscopia eletrônica de transmissão; 
Levantamento de vírus em amostras metagenômicas de morcegos amazônicos;Universidade de São Paulo (USP). Instituto de Ciências Biomédicas (ICB);São Paulo;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Biologia computacional:Virologia molecular:Viroma:Chiroptera:Morcegos:Amazônia:Filogenia molecular:Genomas:Modelo oculto de Markov; 
Mapeamento da atividade fibrilatória cardíaca acurada: uma contribuição experimental;Ministério da Educação (Brasil). Universidade Federal do ABC (UFABC). Centro de Engenharia, Modelagem e Ciências Sociais Aplicadas (CECS);Santo André;;;;Engenharias;Engenharia Biomédica;Bioengenharia;Cardiologia:Eletrofisiologia cardíaca:Eletrocardiografia:Fibrilação atrial:Sinal biológico:Estudo in situ:Equipamentos e provisões hospitalares:Experimentação animal; 
Desenvolvimento de uma plataforma dermocosmética composta por máscaras faciais eletro-estimuladas;;;Inanocare Ltda. - ME;Ribeirão Preto;;Ciências da Saúde;Farmácia;Farmacotecnia;Cosmetologia:Dermocosméticos:Ácido hialurônico:Fibroínas de seda:Terapia por estimulação elétrica:Doenças da pele e do tecido conjuntivo:Máscaras faciais:indústria cosmética; 
Desenvolvimento de microagulhas poliméricas para tratamento tópico do melasma;;;Souza P&D Farmacêutico Ltda;Ribeirão Preto;;Ciências da Saúde;Farmácia;Farmacotecnia;Doenças da pele e do tecido conjuntivo:Pigmentação da pele:Transtornos da pigmentação:Hiperpigmentação:Melanose; 
