Empresa;Área do Conhecimento;Subárea do Conhecimento
GPTI - Gestão de Projetos em Tecnologia Industrial S/S Ltda. - ME;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Felipe Wilker Grillo - ME;Engenharia Biomédica;Bioengenharia
Altamar Comércio e Serviços de Equipamentos Aquáticos Ltda. - EPP;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Stratelli Inteligência Estratégica Ltda. - EPP;Ciência da Computação;Metodologia e Técnicas da Computação
SciPet Soluções em Inovação Tecnológica Ltda;Ciência da Computação;Sistemas de Computação
FCA Brasil Indústria, Comércio e Usinagem de Peças Ltda. EPP;Física;Física Geral
Fibraforte Engenharia Indústria e Comércio Ltda;Engenharia Aeroespacial;Propulsão Aeroespacial
Fibraforte Engenharia Indústria e Comércio Ltda;Engenharia Aeroespacial;Propulsão Aeroespacial
Fibraforte Engenharia Indústria e Comércio Ltda;Engenharia Aeroespacial;Propulsão Aeroespacial
Eleve Science Pesquisa e Desenvolvimento Ltda;Farmácia;Farmacotecnia
Algaetech Pesquisa Ltda. - ME;Química;Química Analítica
Hi Tec Indústria e Comércio de Produtos Químicos Ltda;Engenharia Química;Tecnologia Química
Stresscan Agrobusiness Intelligence Ltda;Agronomia;Agrometeorologia
Phelcom Technologies Ltda. - ME;Engenharia Biomédica;Bioengenharia
Chemyunion Ltda;Biofísica;Biofísica Molecular
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Neguebe Química e Biológica Ltda;Microbiologia;Microbiologia Aplicada
Natanael Pinheiro Leitão Junior - ME;Microbiologia;Microbiologia Aplicada
Green Technologies Projetos Agroindustriais S/C Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
3DSoft Consultoria Ltda. - ME;Ciência da Computação;Sistemas de Computação
Biomattech Inovação Pesquisa e Desenvolvimento Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Lace Serviços de Engenharia e Representação Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Cozo Tecnologia Ltda;Ciência da Computação;Sistemas de Computação
Agertek Indústria e Comércio de Estruturas Eireli - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Medicina Veterinária;Reprodução Animal
Ibi Agentes Biológicos Ltda;Agronomia;Fitossanidade
Cursor - Softwares para Identificação e Controle Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Bio Nano Indústria e Comércio de Derivados de Celulose Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Andrea de Souza Stockl;Ciência da Computação;Metodologia e Técnicas da Computação
Immersus Tecnologia Ltda - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
InCeres Desenvolvimento de Software e Processamento de Dados S/A;Agronomia;Ciência do Solo
Medicina Nuclear de Campinas Ltda;Engenharia Nuclear;Aplicações de Radioisótopos
Oralls Importação e Exportação Comercial Ltda. - ME;Odontologia;Odontologia Social e Preventiva
Solferini Ltda;Engenharia Mecânica;Fenômenos de Transportes
Nervera Serviços de Informática Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Revolugenix Biotecnologia, Pesquisa e Desenvolvimento Ltda;Engenharia Biomédica;Bioengenharia
Nchemi Engenharia de Materiais Ltda;Química;Físico-química
Kolplast CI S/A;Medicina;Anatomia Patológica e Patologia Clínica
Shooper Comércio Alimentícios Ltda;Economia;Métodos Quantitativos em Economia
LUCA - Ciência para Educar Ltda. - ME;Educação;Ensino-aprendizagem
FCH Consultoria e Projetos de Engenharia Ltda;Engenharia Civil;Construção Civil
Technomar Engenharia Ltda;Engenharia Naval e Oceânica;Hidrodinâmica de Navios e Sistemas Oceânicos
Ibiotech Pesquisa e Desenvolvimento Ltda. - ME;Medicina Veterinária;Reprodução Animal
Reciclapac Soluções para Embalagens Ltda;Ciência da Computação;Sistemas de Computação
R-Crio Criogenia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Mmtech Projetos Tecnológicos Importação e Exportação Ltda;Química;Química Orgânica
HXD Soluções em Mídias Digitais Ltda. - ME;Ciência da Computação;Sistemas de Computação
Vital Brasil Chemical Indústria e Comércio de Produtos Químicos Ltda. - ME;Agronomia;Fitossanidade
Engtelco Engenharia de Telecomunicações Ltda. - EPP;Engenharia Elétrica;Telecomunicações
Eleve Pesquisa e Desenvolvimento Ltda;Zootecnia;Pastagens e Forragicultura
Ana Rita de Toledo Piza Biotecnologia - ME;Microbiologia;Microbiologia Aplicada
IDGeo Inteligência em Dados Geográficos Ltda;Geociências;Geografia Física
Immunogenic Assessoria e Diagnóstico em Saúde Ltda - EPP;Medicina;Saúde Materno-infantil
Bioativa Pesquisas e Compostos Bioativos Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Sofia Nascimento dos Santos;Engenharia Nuclear;Aplicações de Radioisótopos
Lã Data Analysis Pesquisa de Mercado Ltda. - ME;Saúde Coletiva;Saúde Pública
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Geociências;Geofísica
Lace Serviços de Engenharia e Representação Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Fubá Educação Ambiental e Criatividade Ltda. - ME;Educação;Tópicos Específicos de Educação
Brax Indústria e Comércio de Máquinas e Equipamentos Eletrônicos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Trópico Sistemas e Telecomunicações da Amazônia Ltda (Filial);Engenharia Elétrica;Telecomunicações
5ecos Indústria de Máquinas e Equipamentos Ltda. - ME;Engenharia Sanitária;Saneamento Ambiental
Verdaz Gestão Sustentável e Consultoria Ambiental Ltda (Verdaz);Planejamento Urbano e Regional;Métodos e Técnicas do Planejamento Urbano e Regional
3HM Suportes de Equipamentos Esportivos Ltda. - ME;Engenharia de Produção;Engenharia do Produto
Trigene Consultoria, Importação, Comércio de Produtos para Aquicultura Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Centro de Serviços e Materiais Cerâmicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Biosmart Nanotechnology Ltda;Farmácia;Farmacotecnia
ODM Consultoria Empresarial Ltda;Engenharia de Produção;Pesquisa Operacional
Gustavo Trindade Valio;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Algae Biotecnologia Ltda (ALGAE);Microbiologia;Microbiologia Aplicada
Biodiversita Serviços de Apoio Agrícola Ltda. - ME;Microbiologia;Microbiologia Aplicada
Byos Soluções Tecnológicas Ltda. - ME;Medicina Veterinária;Medicina Veterinária Preventiva
Noviga Partner Consultoria e Planejamento Financeiro Ltda. - ME;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Rodrigo Ribeiro - ME;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Selenolife Pesquisa em Selenio p/ Vida Ltda;Química;Química Orgânica
Cenamo Tecnologia Eireli;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Portal Telemedicina Ltda;Ciência da Computação;Sistemas de Computação
Solve Biotechnology Ltda. - ME;Química;Química Analítica
Kairos Lab Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Solve Biotechnology Ltda. - ME;Química;Química Analítica
Peixe do Mar Aquicultura Marinha Sustentável Ltda. - ME;Zootecnia;Produção Animal
Akaer Engenharia Ltda;Engenharia Elétrica;Telecomunicações
NCB Sistemas Embarcados Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
BR Labs Tecnologia Óptica e Fotônica Ltda;Engenharia Biomédica;Engenharia Médica
Dizoo Serviços de Atividades Veterinárias Eireli - ME;Medicina Veterinária;Medicina Veterinária Preventiva
Hospimetal Indústria Metalúrgica de Equipamentos Hospitalares Ltda;Engenharia Biomédica;Engenharia Médica
Bio Star Tech Desenvolvimento Ltda. - ME;Engenharia Biomédica;Engenharia Médica
Igam4 Consultoria Científica e Tecnológica Ltda;Geociências;Meteorologia
Biosmart Nanotechnology Ltda;Odontologia;Clínica Odontológica
Mvisia Desenvolvimentos Inovadores Ltda;Ciência da Computação;Sistemas de Computação
Tech Chrom Instrumentos Analíticos Ltda. - ME;Física;Áreas Clássicas de Fenomenologia e suas Aplicações
Enalta Inovações Tecnológicas S/A;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Treevia Serviços de Engenharia Ltda. - ME;Recursos Florestais e Engenharia Florestal;Manejo Florestal
Rubian Xtract Serviços Ltda;Nutrição;Bioquímica da Nutrição
Smartbio Desenvolvimento Tecnológico Ltda (Smartbio);Agronomia;Fitossanidade
Soudap Soldas Sanitárias Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
CT&I Decisões e Ações Inteligentes Ltda. - ME;Engenharia de Produção;Pesquisa Operacional
PPI Multitask Sistemas e Automação Ltda;Ciência da Computação;Sistemas de Computação
Tambora Engenharia de Materiais Metálicos e Industriais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Soraya El Khatib - EPP;Farmácia;Farmacotecnia
Selaz Indústria e Comércio de Aparelhos Biomecânicos Ltda (SELAZ);Engenharia Biomédica;Engenharia Médica
Salix Engenharia Ltda. - ME;Engenharia Civil;Construção Civil
Opto Tecnologia Optrônica Ltda;Engenharia Mecânica;Engenharia Térmica
Lei List Pesquisa e Serviços de Tecnologia Eireli - EPP;Ciência da Computação;Sistemas de Computação
Gomez & Gomez Ltda. - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Simone Cristina Picchi;Agronomia;Fitossanidade
Toledo & Souza Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Luxtec Sistemas Ópticos Ltda;Física;Física da Matéria Condensada
BGE Médica Indústria e Comércio Ltda;Medicina;Cirurgia
Getninjas Atividades de Internet Ltda;Ciência da Computação;Matemática da Computação
Win-Win Traduções e Crowdfunding Ltda. - ME;Ciência da Computação;Sistemas de Computação
Opto Tecnologia Optrônica Ltda;Engenharia Aeroespacial;Estruturas Aeroespaciais
Opto Tecnologia Optrônica Ltda;Física;Física da Matéria Condensada
Cassetari & Lucheta Biotecnologia Ltda. - ME;Agronomia;Ciência do Solo
Marco Antonio Nardy - ME;Ciência da Computação;Sistemas de Computação
Biotox Análises Ambientais Ltda. - ME;Ecologia;Ecologia Aplicada
4tree Agroflorestal Ltda;Recursos Florestais e Engenharia Florestal;Manejo Florestal
Genotyping Laboratório de Biotecnologia Ltda (Genotyping);Microbiologia;Microbiologia Aplicada
Mellifera - Consultoria Tecnológica Eireli;Zootecnia;Produção Animal
Atmos Sistemas Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Prevet Laboratório de Diagnóstico, Desenvolvimento e Sanidade Aquícola Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Grana Tecnologia Eireli - ME;Ciência da Computação;Sistemas de Computação
Clickideia Tecnologia Educacional Ltda. - EPP;Ciência da Computação;Sistemas de Computação
Leona Indústria e Comércio de Materiais e Ligas Odontológicas e Médicas Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Sensormap Soluções em Geotecnologia Ltda. - EPP;Geociências;Geodésia
Labmass Laboratory  Laboratório de Análise Química, Consultoria e Treinamento Ltda. - ME;Farmácia;Análise e Controle de Medicamentos
Bioware Desenvolvimento e Tecnologia em Energia e Meio Ambiente Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Danielle Fernandes da Silva;Química;Química Orgânica
Inreservoir Solutions - Projetos e Pesquisas em Ciências e Engenharia de Petróleo Ltda;Engenharia Mecânica;Fenômenos de Transportes
D & D Desenvolvimento e Tecnologia Ltda;Medicina;Cirurgia
Juan Harold Sosa Arnao;Engenharia Mecânica;Engenharia Térmica
Karla de Melo Lima - EPP;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Compplied Computação Aplicada S/A;Ciência da Computação;Sistemas de Computação
Eclison Dutra Nepunuceno Apoio Empresarial - ME;Agronomia;Floricultura, Parques e Jardins
It Fast Consultoria em TI Ltda. - ME;Ciência da Computação;Sistemas de Computação
Bridge Games Desenvolvimento de Programas Ltda. - ME;Ciência da Computação;Sistemas de Computação
Itatijuca Biotech Ltda;Microbiologia;Microbiologia Aplicada
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
H2O Company Gestão em Sustentabilidade Ltda. - ME;Engenharia Sanitária;Recursos Hídricos
Emanuel Thales Lara Piza;Ciência da Computação;Metodologia e Técnicas da Computação
Geoambiente Sensoriamento Remoto Ltda;Administração;Administração Pública
Wirebus Equipamentos Industriais Eireli - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Akaer Engenharia Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Exclusif Ltda. - EPP;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Laboratório Biosintesis P & D do Brasil Ltda;Bioquímica;Biologia Molecular
Enterup Tecnologia em Sistemas Ltda - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Colly Química Indústria e Comércio Ltda. - EPP;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Lace Serviços de Engenharia e Representação Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Algae Biotecnologia Ltda (ALGAE);Microbiologia;Microbiologia Aplicada
FGR Serviços Administrativos Ltda;Ciência da Computação;Sistemas de Computação
Smart Yeast - Pesquisa e Desenvolvimento Ltda;Microbiologia;Microbiologia Aplicada
R4F Tecnologia em Telecomunicações Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Poligene Comércio e Serviços Ltda. - ME;Agronomia;Fitotecnia
OMNI Eletrônica, Engenharia e Comércio Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
DC Química, Representação e Comércio de Produtos Químicos Ltda;Microbiologia;Microbiologia Aplicada
Avita Produtos Químicos Farmacêuticos Ltda;Farmácia;Análise e Controle de Medicamentos
Cotaltec Pesquisa e Desenvolvimento Ltda;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
Biblioteca de Compostos Orgânicos Pesquisas e Análises em Química;Química;Química Orgânica
Alex Humberto Calori - ME;Agronomia;Fitotecnia
Meta Consultoria em Agro Negócios Ltda;Engenharia Mecânica;Fenômenos de Transportes
Nathalia Camillo da Silva;Ciência da Computação;Sistemas de Computação
Neoinfinito Softwares - Eireli;Engenharia de Produção;Pesquisa Operacional
Immunocamp Comércio de Produtos Hospitalares Ltda;Saúde Coletiva;Saúde Pública
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Física;Física da Matéria Condensada
Ciaware Centro de Informatizações e Análises Ltda;Engenharia Biomédica;Engenharia Médica
Tozemart Tecnologia da Informação Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Inframax Engenharia, Comércio e Serviços Ltda;Ciência da Computação;Sistemas de Computação
In Vitro Brasil Clonagem Animal S/A;Medicina Veterinária;Reprodução Animal
Contart Tecnologia e Gestão em Informática Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Cipolli Automação e Manutenção Ltda. - ME;Engenharia Mecânica;Projetos de Máquinas
Promip Comércio, Pesquisas e Desenvolvimento de Agentes Biológicos Ltda (PROMIP);Agronomia;Fitossanidade
Ciclo Farma Indústria Química Eireli;Farmácia;Farmacotecnia
Desh Tecnologia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Rubian Xtract Serviços Ltda;Farmácia;Farmacognosia
Carbosolo Desenvolvimento Agrícola Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Piaram Produtos Nanotecnológicos, Assessoria, Pesquisa e Desenvolvimento de Produtos e Processos Químicos Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Agrobiológica Soluções Eireli;Microbiologia;Microbiologia Aplicada
NTU Software Technology Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
OMNI Eletrônica, Engenharia e Comércio Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Promac Equipamentos Ms Ltda;Engenharia Mecânica;Processos de Fabricação
Pullup Soluções Sistemas Eletrônicos Ltda;Engenharia Elétrica;Telecomunicações
CL Empreendimentos Biológicos Ltda. - EPP;Agronomia;Fitossanidade
Autaza Tecnologia S/A;Engenharia Mecânica;Processos de Fabricação
Microbióticos Análises Laboratoriais Ltda;Medicina Veterinária;Inspeção de Produtos de Origem Animal
Tecnal Indústria, Comércio, Importação e Exportação de Equipamentos para Laboratório Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Bio Controle Métodos de Controle de Pragas Ltda;Saúde Coletiva;Saúde Pública
Sigmed Equipamentos Eletrônicos Ltda. - EPP;Engenharia Biomédica;Engenharia Médica
Ibire Soluções Empresariais Ltda;Engenharia Química;Operações Industriais e Equipamentos para Engenharia Química
Agência Brasileira de Meteorologia Ltda;Geociências;Meteorologia
Tecno-How Engenharia Industrial e Comércio Ltda;Engenharia Mecânica;Processos de Fabricação
Leverage Usinagem e Comércio Ltda;Engenharia Mecânica;Processos de Fabricação
Biocelere Agroindustrial Ltda;Genética;Genética Vegetal
Compsis Computadores Sistemas Indústria e Comércio Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia Mecânica;Processos de Fabricação
Jose Carlos de Jesus Bertacini - ME;Engenharia Mecânica;Projetos de Máquinas
Bioativos Naturais Ltda. - ME;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Luiz Maria Guimarães Esmanhoto;Ciência da Computação;Sistemas de Computação
Koppert do Brasil Holding Ltda (Koppert);Agronomia;Fitossanidade
NGS Soluções Genômicas Eireli - ME;Zootecnia;Produção Animal
Rossa Inovação em Produtos Eireli;Engenharia Mecânica;Engenharia Térmica
Oikos Biotecnologia - Agentes de Controle Biológico, Serviço de Pulverização;Agronomia;Fitossanidade
Nchemi Engenharia de Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Labmaq do Brasil Ltda;Farmácia;Farmacotecnia
Dana Agro Science Ltda;Agronomia;Fitotecnia
Spectrum Line Prestações de Serviços Eletro-Eletrônicos Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Led Visual Médica Ltda. - ME;Física;Física Atômica e Molecular
Farm Solutions - Monitoramento Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
AGA Consultoria e Desenvolvimento de Projetos Técnico-Científicos Ltda. - ME;Engenharia Química;Tecnologia Química
TS Pharma Soluções Farmacêuticas Ltda. - ME;Farmácia;Farmacotecnia
DC Química, Representação e Comércio de Produtos Químicos Ltda;Microbiologia;Microbiologia Aplicada
Jose Antonio Pio Cintra Filho;Engenharia Mecânica;Projetos de Máquinas
Sureale Soluções em Tecnologia da Informação Ltda. - ME;Ciência da Computação;Sistemas de Computação
Innolution Sistemas de Informática Ltda;Medicina;Radiologia Médica
Sistemas Inteligentes em Telecomunicações Ltda;Engenharia Elétrica;Telecomunicações
Domínio Tecnologia Química Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Carlos Eduardo Matos dos Santos - ME;Farmácia;Análise Toxicológica
Labmaq do Brasil Ltda;Agronomia;Fitossanidade
Kidopi Soluções em Informática Médica Ltda (Kidopi);Ciência da Computação;Sistemas de Computação
Nchemi Engenharia de Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Minaplan Comércio e Serviços Ltda;Engenharia de Minas;Tratamento de Minérios
Rafael Mira de Oliveira Libardi Eireli - ME;Ciência da Computação;Sistemas de Computação
Luxray Tecnologia Ltda;Engenharia Elétrica;Sistemas Elétricos de Potência
Nano Orgânica Soluções Científicas e Tecnológicas Ltda. - ME;Engenharia Química;Tecnologia Química
Simulate Tecnologia de Simulação Ltda. - EPP;Engenharia de Produção;Pesquisa Operacional
Concierge Blindado Serviços Automotivos Ltda;Ciência da Computação;Sistemas de Computação
OMNI Eletrônica, Engenharia e Comércio Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Laboratório Vitafort Indústria e Comércio Produtos Veterinários Ltda;Medicina Veterinária;Medicina Veterinária Preventiva
Sistema Ciclo Processamento Ltda. - ME;Planejamento Urbano e Regional;Métodos e Técnicas do Planejamento Urbano e Regional
Celso Tomazin Junior;Química;Química Orgânica
Rafael Fernando dos Santos;Zootecnia;Genética e Melhoramento dos Animais Domésticos
Onkos Diagnósticos Moleculares Ltda. - ME;Genética;Genética Humana e Médica
ReliaSoft Brasil Ltda;Probabilidade e Estatística;Probabilidade e Estatística Aplicadas
Quantum Comércio e Serviços de Tecnologia e Inovação Ltda;Engenharia Elétrica;Sistemas Elétricos de Potência
Instituto Cidade Jardim Ltda. - ME;Agronomia;Floricultura, Parques e Jardins
Chronuscamp Research Análises Termocronológicas Ltda;Geociências;Geologia
Onion Tecnologia Ltda. - ME;Ciência da Computação;Sistemas de Computação
Henbak Tecnologia, Comércio e Serviços - Eireli;Química;Química Analítica
Ivano Jose Cunha 01642884812;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Lace Serviços de Engenharia e Representação Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Cassio Ramos Aquicultura e Comércio - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Mocap Brasil Serviços em Tecnologia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
SciPet Soluções em Inovação Tecnológica Ltda;Ciência da Computação;Sistemas de Computação
BR3 S/A;Engenharia Química;Processos Industriais de Engenharia Química
Eleve Pesquisa e Desenvolvimento Ltda;Farmácia;Análise e Controle de Medicamentos
Sergio Fernando Tadeu - ME;Engenharia Civil;Construção Civil
Fisher Piscicultura Água Vermelha Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
PHI Innovations Sistemas Eletrônicos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Logalytics Processamento de Dados Ltda;Engenharia de Transportes;Operações de Transportes
Wisersoft Tecnologia em Sistemas Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Biotec Solução Ambiental, Indústria e Comércio Ltda. - EPP;Engenharia Mecânica;Processos de Fabricação
RF COM Sistemas Ltda;Engenharia Mecânica;Processos de Fabricação
Ziel Biosciences Pesquisa, Desenvolvimento e Diagnóstico Ltda;Saúde Coletiva;Medicina Preventiva
Geosurv Engenharia e Geomática Ltda. - ME;Geociências;Geodésia
RVT Serviços Administrativos Ltda. - ME;Engenharia Mecânica;Engenharia Térmica
Comércio, Importação e Exportação Bioscan Ltda;Microbiologia;Microbiologia Aplicada
Setup Automação e Controle de Processos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Física;Física da Matéria Condensada
Marco Antonio Barboza - ME;Engenharia Mecânica;Engenharia Térmica
DEV Tecnologia, Indústria, Comércio, Manutenção de Equipamentos Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Soluções e Instrumentações Avançadas Ltda. - ME;Engenharia Nuclear;Aplicações de Radioisótopos
ESB Consultoria em Serviços Biológicos Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Cellco Biotec do Brasil Ltda;Bioquímica;Enzimologia
Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
GPS Agrimensora Eireli - EPP;Geociências;Geodésia
Afinko Soluções em Polímeros Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
G Todesco Tecnologia;Ciência da Computação;Sistemas de Computação
Finamac Arpifrio Engenharia e Industrialização de Equipamentos Industriais Ltda (Finamac);Engenharia Mecânica;Projetos de Máquinas
Atenatec Soluções Tecnológicas Ltda. - ME;Ciência da Computação;Sistemas de Computação
Nanofitotec Inovação em Fitoterápicos Eireli;Farmácia;Farmacotecnia
Provazzi - Consultoria e Desenvolvimento de Projetos Técnico-Científicos Ltda;Microbiologia;Microbiologia Aplicada
CAA Tecnologia da Informação Ltda. - EPP;Planejamento Urbano e Regional;Serviços Urbanos e Regionais
Medical Cirúrgica Ltda. - EPP;Engenharia Biomédica;Engenharia Médica
Soraya El Khatib - EPP;Farmácia;Farmacotecnia
Cron Sistemas e Tecnologias Ltda. - EPP;Engenharia Aeroespacial;Sistemas Aeroespaciais
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda;Química;Química Analítica
Dynamis Indústria e Comércio Ltda. - ME;Engenharia Aeroespacial;Aerodinâmica
i-Healthsys Produtos Médicos Ltda;Saúde Coletiva;Medicina Preventiva
Phelcom Technologies Ltda. - ME;Engenharia Biomédica;Engenharia Médica
LABTERMO Consultoria Microbiológica Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Timpel S/A;Engenharia Biomédica;Engenharia Médica
Fit Comércio, Importação e Exportação de Máquinas e Equipamentos Odonto-Médicos Hospitalares e Laboratoriais Ltda;Química;Química Analítica
LCR Kimera Biotecnologia Ltda;Medicina Veterinária;Reprodução Animal
GPS Agrimensora Eireli - EPP;Geociências;Geodésia
Proinsecta Pesquisa e Desenvolvimento Ltda. - ME;Zoologia;Zoologia Aplicada
Aptor Consultoria e Desenvolvimento de Software Ltda. - ME;Ciência da Computação;Sistemas de Computação
Iacit Soluções Tecnológicas Ltda (IACIT);Ciência da Computação;Sistemas de Computação
Time Energy Indústria e Comércio Eireli - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Kryptus Segurança da Informação Ltda;Ciência da Computação;Sistemas de Computação
Altave Indústria, Comércio e Exportação de Aeronaves S/A;Recursos Florestais e Engenharia Florestal;Silvicultura
Scheme Lab Propriedade Industrial S/S Ltda;Genética;Genética Molecular e de Microorganismos
Incon Eletrônica Ltda. - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Tecplas Indústria e Comércio Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Iacit Soluções Tecnológicas Ltda (IACIT);Engenharia Elétrica;Telecomunicações
Quintas Indústria e Comércio de Balanças Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Compsis Computadores Sistemas Indústria e Comércio Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Susten Indústria e Comércio de Produtos Alimentícios Eireli;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
One Sports Ltda. - ME;Ciência da Computação;Sistemas de Computação
Solve Biotechnology Ltda. - ME;Química;Química Analítica
Cellco Biotec do Brasil Ltda;Bioquímica;Biologia Molecular
