Empresa;Municipio
Linax Indústria e Comercio de oleos Essenciais Ltda;Votuporanga
Ecomol Consultoria e Projetos Ltda. - ME;Amparo
Opto Tecnologia Optronica Ltda;Sao Carlos
Cintia Carla Melgaco de Oliveira;Campinas
Equatorial Sistemas S/A;Sao Jose dos Campos
Avaltech Inovacões para Agropecuaria Ltda;Piracicaba
Ssoft Ltda;Sao Paulo
Print Dreams 3D Artigos Ortopedicos Ltda;Campinas
Linax Indústria e Comercio de oleos Essenciais Ltda;Votuporanga
Developnow Projetos de Software e Eletronica Ltda. - ME;Sao Carlos
Avinamics Servicos de Engenharia Ltda;Sao Jose dos Campos
Centro Paulista de Diagnostico, Pesquisa e Treinamento Ltda (CPDP);Ribeirao Preto
Agrientech Limitada;Sao Carlos
Brats Indústria e Comercio de Produtos Metalicos Especiais Ltda. - ME;Cajamar
WS Equipamentos Eletronicos Ltda. - ME;Santa Barbara D'Oeste
BL Mak Pesquisa e Desenvolvimento Ltda;Taubate
Simone Cristina Picchi;Araras
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Jaboticabal
Neuralmind Inteligencia Artificial Ltda;Campinas
Biologix Sistemas Ltda;Sao Paulo
Adriana Ferreira Lopes Vilela;Ribeirao Preto
Aureliano Agostinho Dias Meirelles;Campinas
Dipsie Engenharia e Software S/A;Vinhedo
Naiad Desenvolvimento Computacional de Farmacos Ltda;Sao Caetano do Sul
Radcom Sistema de Comunicacao Ltda. - ME;Barretos
AFH Solucões Tecnologicas Ltda;Campinas
Ranieri S de Barros;Suzano
Led Visual Medica Ltda. - ME;Araraquara
Incloude Tecnologia Ltda;Sao Paulo
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Thalita Braga;Sao Carlos
Hakkuna Alimenticios Ltda;Piracicaba
Solucões em Biotecnologia 3D - Elaboracao de Projetos Ltda;Campinas
AG Textil Eireli;Americana
Centro de Amparo à Pesquisa Veterinaria Ltda;Amparo
Tak Controle Biologico Ltda;Pirassununga
Hoobox Robotics Tecnologia do Brasil Ltda. - ME;Campinas
Camila de Almeida Melo;Sao Jose do Rio Preto
Tecplas Indústria e Comercio Ltda. - EPP;Sao Jose dos Campos
Justy Biosolutions Ltda;Piracicaba
Genoa Solucões Ltda;Sao Paulo
Soleil Papa Pesquisa e Desenvolvimento Ltda;Vargem Grande do Sul
Nanochemtech Pesquisa e Desenvolvimento em Biomateriais Ltda;Sao Jose do Rio Preto
Fruturos Pesquisa e Desenvolvimento de Produtos Alimenticios Ltda;Piracicaba
Pesqeasy Inovacao Tecnologica - Consultoria em Sistemas da Informacao Ltda;Araraquara
Edumaplab Tecnologia Educacional Ltda;Sao Paulo
Tech - Inovacões Tecnologicas para a Agropecuaria Ltda;Piracicaba
Ecra Biotec Servicos e Pesquisas Ltda;Santo Andre
Machiron Desenvolvimento de Sistemas Ltda;Sao Paulo
Korin Agricultura e Meio Ambiente Ltda;Ipeúna
EVA Scientific Indústria, Comercio e Servicos Ltda;Sao Paulo
Iteas Solucões Digitais Ltda;Sao Paulo
J&C Ferreira Pesquisa e Desenvolvimento Ltda;Barretos
Progt Industrial Ltda;Paulinia
Airton Juliano Damaceno - ME;Sao Jose do Rio Preto
Kasco P&D Tecnologia da Informacao Ltda;Campinas
Rafael Nunes da Silva;Sao Bernardo do Campo
Agricef Solucões Tecnologicas para Agricultura Ltda (Agricef);Campinas
Houari Cobas Gomez;Sao Paulo
Autaza Tecnologia S/A;Sao Jose dos Campos
R&R NovaBio Pesquisa e Desenvolvimento em Ciencias Naturais Ltda;Campinas
Natural Products & Technologies Ltda. - ME;Rafard
R-Crio Criogenia S/A;Campinas
IDGeo Inteligencia em Dados Geograficos Ltda;Piracicaba
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;Sao Carlos
RI Consultoria de Dados S/S Ltda;Campinas
Subiter Tecnologia Ltda;Sao Jose dos Campos
Vulcano Equipamentos para Digitalizacao Ltda;Sao Paulo
CL Empreendimentos Biologicos Ltda. - EPP;Piracicaba
Bioprocess Improvement Consultoria e Pesquisas em Bioprocessos Ltda;Campinas
Engemap Engenharia, Mapeamento e Aerolevantamento Ltda;Assis
Ursula Luana Rochetto Doubek - ME;Campinas
Agromic Pesquisa, Producao e Comercio de Insumos Biologicos Ltda;Piracicaba
Systech Feeder Desenvolvimento de Tecnologias para Agronegocio Ltda;Piracicaba
MC Supply Comercio, Importacao, Exportacao e Intermediacao de Negocios Ltda;Santa Barbara D'Oeste
Watanabe Equipamentos Medicos Ltda. - EPP;Cravinhos
Eleve Science Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Radiologia-IS Desenvolvimento de Programas Ltda;Ribeirao Preto
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
AFH Solucões Tecnologicas Ltda;Campinas
Communitaria Consultoria e Treinamento Ltda - ME;Sao Paulo
Sofia Nascimento dos Santos;Sao Paulo
MRA Indústria de Equipamentos Eletronicos Ltda;Ribeirao Preto
Visibilia Ltda;Sao Carlos
M M da Silva Fibras e Resinas Sinteticas - ME;Sao Carlos
Vetadvisory Veterinarios & Associados Ltda;Atibaia
Verum Brasil Comercio Alimenticio Ltda;Botucatu
Biolinker Biologia Sintetica Eireli;Sao Paulo
Xeduca Solucões Tecnologicas Ltda. - ME;Sao Paulo
Pharmalife Produtos Veterinarios Eireli;Sorocaba
Innolution Sistemas de Informatica Ltda;Ribeirao Preto
Gedanken Desenvolvimento e Licenciamento de Programas de Computador Ltda;Ribeirao Preto
Claudio Renato Ribeiro de Mello Mazzola;Sao Paulo
Leandro Yukio Mano Alves;Marilia
Verdaz Gestao Sustentavel e Consultoria Ambiental Ltda (Verdaz);Sao Jose do Rio Preto
Vivax Servicos Ltda;Sao Caetano do Sul
Biosmart Nanotechnology Ltda;Araraquara
Phelcom Technologies Ltda. - ME;Sao Carlos
4tree Agroflorestal Ltda;Piracicaba
7 Waves do Brasil Ltda. - ME;Sorocaba
NTT Data Brasil Consultoria em TI & Solucões Ltda;Sao Paulo
WTA - Watanabe Tecnologia Aplicada Ltda. - EPP;Cravinhos
Aptor Consultoria e Desenvolvimento de Software Ltda. - ME;Sao Carlos
Seip 7 Indústria e Comercio de Maquinas Ltda. - ME;Sorocaba
Tracktudo Monitoramento Inteligente Ltda;Sao Jose dos Campos
Tocalivros Ltda;Sao Paulo
RI Consultoria de Dados S/S Ltda;Campinas
Carbosolo Desenvolvimento Agricola Ltda;Sao Paulo
Facialme - Desenvolvimento de Sistemas Ltda;Sao Paulo
Biosmart Nanotechnology Ltda;Araraquara
Tekopora Comercio de Alimentos e Probioticos Ltda;Sao Paulo
Adriel Bortolin;Rio Claro
Seven Always Tecnologia Ltda;Sao Paulo
IMAE - Inovacao em Engenharia Mecânica e Aeronautica Eireli;Jambeiro
Signature Healthcare Innovation Artigos Medicos para Diagnosticos Ltda;Sao Paulo
Gustavo Trindade Valio;Sao Carlos
Pangeiabiotech Pesquisa e Desenvolvimento Ltda;Campinas
4tree Agroflorestal Ltda;Piracicaba
Perto Gestao de Tecnologia S/A;Sao Paulo
Geocart Geoprocessamento e Cartografia Ltda;Sao Paulo
Ambar Indústria, Comercio de Componentes e Instalacões Eletricas, Importacao e Exportacao S/A;Sao Carlos
In Situ Terapia Celular Ltda;Paulinia
Koneksi Inovacao Agro Ltda;Piracicaba
Rhelvis de Campos Oliveira 31779078897;Mogi Guacu
Retina Servicos de Tecnologia em Monitoramento Ltda;Sao Paulo
TagmaVisions Treinamentos Digitais Ltda;Ribeirao Preto
Hygsystems Ingredientes Indústria e Comercio Ltda;Campo Limpo Paulista
Percebe Pesquisa Consultoria e Treinamento Educacional S/C Ltda. - ME;Sao Paulo
TR - Tecnologia em Radares Ltda;Sao Jose dos Campos
Evandro Drigo da Silva 26923954843;Sao Paulo
Koppert do Brasil Holding Ltda (Koppert);Piracicaba
Gomez & Gomez Ltda. - ME;Sao Paulo
Angoera Comercio e Servicos de Equipamentos Eletronicos Ltda. - EPP;Sao Paulo
Solferini Ltda;Lorena
Cognita Solucões Tecnologicas Pesquisa Desenvolvimento Cientifico;Espirito Santo do Pinhal
Biopdi Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Noleak Tecnologia da Informacao Ltda;Ribeirao Preto
Clarice Inteligencia Artificial Ltda;Sao Paulo
Sutservices Solucões em Tecnologia Eireli;Barueri
Nchemi Engenharia de Materiais Ltda;Sao Carlos
Sense Plus Consultoria e Desenvolvimento Ltda;Sao Paulo
Navigandi Pesquisas e Desenvolvimento de Equipamentos Maritimos Ltda;Sao Paulo
Guiaderodas Desenvolvimento e Pesquisas Ltda;Sao Paulo
Lipid Ingredients & Technologies Ltda. - ME;Ribeirao Preto
IPclin - Instituto de Pesquisa Clinica Integrada Ltda;Sao Paulo
Hoobox Robotics Tecnologia do Brasil Ltda. - ME;Campinas
TechMiP Analises e Solucões Inteligentes Ltda;Araraquara
MTG Solutions Softwares de Otimizacao para Engenharia Ltda;Sao Bernardo do Campo
Naked Monkey Ltda. - ME;Sao Paulo
Intersecta Engenharia Ltda;Sorocaba
Farmacore Biotecnologia Ltda (FARMACORE);Sao Paulo
Plateinnove Biotechnology Pesquisas Ltda;Piracicaba
Cassio Ramos Aquicultura e Comercio - ME;Sao Paulo
Itepec Ambiental Ltda. - EPP;Aluminio
Grazziani Rodrigues da Costa Marques 93264500159;Sao Jose do Rio Preto
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Alberto OFarrill Vannini Pessina - ME;Vinhedo
Paulo Daniel Leite Pesquisa e Desenvolvimento;Botucatu
Eyetec Equipamentos Oftalmicos Indústria, Comercio Importacao e Exportacao Ltda. - EPP;Sao Carlos
Win-Win Traducões e Crowdfunding Ltda. - ME;Sao Jose do Rio Preto
Timpel S/A;Sao Paulo
Rogerio Augusto de Caldas Ayres Estacio;Pirassununga
Marcelo Victor Pires Sousa Desenvolvimento Tecnologico Fotomedicina - ME;Sao Paulo
Zasso Brasil Indústria e Comercio de Maquinas Ltda;Indaiatuba
Optarium Comercio de Artigos de otica Eireli - ME;Campinas
Neguebe Quimica e Biologica Ltda;Sao Paulo
Advance Solucões em Informatica Ltda;Hortolândia
Bio Insumos e Diagnostico Ltda;Sao Paulo
Autaza Tecnologia S/A;Sao Jose dos Campos
Kopp Pesquisa e Desenvolvimento Cientifico Ltda. - ME;Sao Carlos
Selenolife Pesquisa em Selenio p/ Vida Ltda;Sao Paulo
Brats Indústria e Comercio de Produtos Metalicos Especiais Ltda. - ME;Cajamar
Biodiversita Servicos de Apoio Agricola Ltda. - ME;Jaguariúna
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Portal Telemedicina Ltda;Sao Paulo
Uira Consultoria Ambiental Ltda. - ME;Itatiba
Browser Ninjas - Tecnologia da Informacao Ltda;Marilia
Biocam Equipamento Medico Hospitalar Eireli - EPP;Campinas
Moradigna - Construcões Assessoria Ltda - ME;Sao Paulo
EDS Maker Comercio de Artigos Hospitalares - EIRELI;Guarulhos
Partecurae Pesquisa e Desenvolvimento Ltda;Sao Carlos
Tau Flow Engenharia;Campinas
Bio Controle Metodos de Controle de Pragas Ltda;Sao Paulo
V.L. Campo;Ribeirao Preto
eFitFashion Tecnologia para Vestuario Ltda;Sao Paulo
Stefanini Rafael Seguranca e Defesa S/A;Sao Paulo
Ravoni - Inovar Consultoria Ltda. - ME;Sao Paulo
Genobiomas Biotecnologia Ltda;Sao Paulo
Time Energy Indústria e Comercio Eireli - EPP;Campinas
Fuba Educacao Ambiental e Criatividade Ltda. - ME;Sao Carlos
Opto Tecnologia Optronica Ltda;Sao Carlos
Ramon Adrian Salinas Franco;Sao Carlos
Serenity Now Pesquisa e Desenvolvimento Ltda;Sao Paulo
Vision Servicos Medicos Ltda - ME;Sao Paulo
Koppert do Brasil Holding Ltda (Koppert);Piracicaba
Kidopi Solucões em Informatica Medica Ltda (Kidopi);Ribeirao Preto
Evolve Solucões Ambientais Ltda;Sao Paulo
Tech - Inovacões Tecnologicas para a Agropecuaria Ltda;Piracicaba
Anova Sistemas Ltda. - ME;Sao Jose dos Campos
Tech - Inovacões Tecnologicas para a Agropecuaria Ltda;Piracicaba
AJT Biotecnologia Ltda. - ME;Sao Jose do Rio Preto
Elaine da Costa Matos;Sao Paulo
Verdexis Bioprodutos Eireli;Campinas
Decoy Tecnologia em Controle de Pragas S/A;Ribeirao Preto
Adimplere Cobrancas Ltda. - ME;Sao Paulo
Regina Bernardina Johanna Hakvoort - ME;Limeira
3TCOM Servicos em Redes de Telecomunicacões Ltda;Araraquara
Douglas Rodrigues Bello - ME;Paraibuna
Joao de Barro Pesquisa e Desenvolvimento Ltda;Sorocaba
ACMC Tecnologia e Servicos Ltda;Sao Vicente
Opto Tecnologia Optronica Ltda;Sao Carlos
Apiagri Desenvolvimento de Software Ltda;Sorocaba
NTU Software Technology Ltda;Sao Paulo
Glucogear Servicos em Tecnologia Ltda. - ME;Sao Paulo
Fernanda Rebel Moreira Alves;Ribeirao Preto
Micro Tube Ferramentaria de Precisao e Comercio Ltda. - ME;Araraquara
Smart Consultoria Agronomica e Servicos Agricolas Ltda;Piracicaba
Revbio - Servicos em Sanidade e Nutricao Vegetal Ltda;Paulinia
InCeres Desenvolvimento de Software e Processamento de Dados S/A;Rio das Pedras
Hyciclool Sistemas Solares Hibridos Ltda. - ME;Valinhos
Polizel Representacões Ltda;Araraquara
Ticyana Carone Banzato - ME;Piracicaba
Tissuelabs Pesquisa e Desenvolvimento Ltda;Sao Paulo
Acta Visio Desenvolvimento em Visao Computacional Ltda;Campinas
Sigmed Equipamentos Eletronicos Ltda. - EPP;Ribeirao Preto
Eduq Solucões Educacionais Ltda;Sao Paulo
Lei List Pesquisa e Servicos de Tecnologia Eireli - EPP;Sao Paulo
BRCOL Maquinas e Equipamentos Ltda;Sao Jose dos Campos
Confiance Gestao Ltda;Piracicaba
Celso de Souza Corsino - ME;Sao Jose dos Campos
Santa Martha Jardins Ltda. - ME;Ribeirao Preto
Argonautica Engenharia e Pesquisas Ltda;Sao Paulo
Forlidar Consultoria Agroflorestal Ltda;Piracicaba
Roberta Gabinio Ciccone;Sao Paulo
Bioinfood Solucões em Biotecnologia Ltda;Campinas
Eleve Science Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Spectralgrid Inovacões Tecnologicas e Sensoriamento Remoto Ltda;Sao Jose dos Campos
Dentillo e Gavio Identificacao e Quantificacao Molecular Ltda. - ME;Ribeirao Preto
SCI - Inovacões Tecnologicas Ltda. - ME;Pirassununga
Oswaldo Urbani Filho;Sao Carlos
Erick Butler Poletto - ME;Sao Paulo
Bart Solucões de Tecnologia Digital S/A;Indaiatuba
Opto Tecnologia Optronica Ltda;Sao Carlos
Immunogenic Assessoria e Diagnostico em Saúde Ltda - EPP;Sao Paulo
Tovem Biotech Pesquisas e Analises Tecnicas Ltda;Sao Paulo
Alex Humberto Calori - ME;Mococa
AFH Solucões Tecnologicas Ltda;Campinas
Grifo Corretora de Seguros de Vida Ltda;Sao Paulo
M&A Tecnologia e Servicos Ltda;Sorocaba
Claudia e Kerber Aquicultura - ME;Ilhabela
Biosmart Nanotechnology Ltda;Araraquara
Vert Pesquisa, Desenv. Experimental Ciencias Fisicas Naturais Ltda;Sao Paulo
Sonata Solutions Tecnologia Ltda;Sao Paulo
BioLambda Cientifica e Comercial Ltda. - EPP;Sao Paulo
Douglas Carlos Vilela;Sao Jose dos Campos
IBM Brasil - Indústria, Maquinas e Servicos Ltda;Campinas
MR/W Brasil Consultoria em Informatica Ltda. EPP;Sao Paulo
Products and Features Brasil Pesquisa e Desenvolvimento Ltda;Sao Jose do Rio Preto
3FS Cidade Arquitetura Design e Tecnologia Ltda;Sao Jose dos Campos
Omics Biotecnologia Animal Ltda;Botucatu
Qfir Sucos Probioticos Eireli - EPP;Campinas
T2V Indústria, Comercio e Servicos em Tecnologia Ltda. - ME;Sao Paulo
Agriconnected Tecnologia e Inovacao Ltda;Sao Paulo
Automni Automacões Industriais Ltda. - EPP;Sao Paulo
Nota 1000 Servicos Educacionais Ltda. - ME;Sao Paulo
Indigo Labs Ltda;Sao Paulo
Cropman Inovacao Tecnologica e Agricultura Digital Ltda;Campinas
Tambora Engenharia de Materiais Metalicos e Industriais Ltda;Campinas
Rubian Xtract Servicos Ltda;Campinas
Virtux Energia Solar Ltda;Sao Paulo
Turbonius - Ensino Pesquisa e Desenvolvimento Ltda;Campinas
DG Cunha Ensino Educacional;Sao Jose do Rio Preto
NEP Núcleo de Consultoria em Engenharia e Pesquisas em Tecnologia;Santana de Parnaiba
Virtualcae Comercio e Servicos de Sistemas Ltda. - EPP;Sao Caetano do Sul
AJT Biotecnologia Ltda. - ME;Sao Jose do Rio Preto
Openeem For Life Indústria e Comercio S/A;Sao Paulo
Biolinker Biologia Sintetica Eireli;Sao Paulo
Bioprocess Improvement Consultoria e Pesquisas em Bioprocessos Ltda;Campinas
Estatera Pesquisa e Solucões em Tecnologia da Informacao Ltda;Campinas
OMNI Eletronica, Engenharia e Comercio Ltda;Sao Paulo
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Sao Caetano do Sul
BPG Design Arquitetura Ltda;Sao Carlos
Geotecno Indústria e Comercio de Sistemas e Processos Automatizados Ltda. - ME;Santa Barbara D'Oeste
Alba Sensors and Diagnostics Ltda;Campinas
Andrios Ass. Tecnico Cientifica Microbiologia Ambiental Solos Ltda. EPP;Piracicaba
Ravenna Indústria e Comercio de Cosmeticos Ltda. - ME;Bauru
Pleiades Sistemas de Comunicacões optico Digitais Ltda. - ME;Campinas
Itech Solucões Ltda. - ME;Campinas
Omnitek Tecnologia Ltda;Sao Paulo
Environ Finger Solutions Consultoria em Solucões Ltda;Osasco
Fernando Takashi Kanemoto;Sao Paulo
Luiz Henrique Chorfi Berton;Serra Negra
ArBrazil: Tecnologia em Realidade Aumentada Ltda. - EPP;Sao Paulo
VRGEN Laboratorio de DNA Ltda;Aracatuba
Bioinfood Solucões em Biotecnologia Ltda;Campinas
Everest Solucões em Informatica Ltda;Sao Paulo
NEURUX - Solucões em Neurociencia e Tecnologia Ltda;Sao Paulo
Original Amazon Assessoria Empresarial Ltda;Sao Paulo
Cellco Biotec do Brasil Ltda;Sao Carlos
Biocollagen Ltda. - ME;Sao Jose do Rio Preto
Imunotera Solucões Terapeuticas Ltda. - EPP;Sao Paulo
Alchemy Inovacao, Pesquisa e Desenvolvimento Ltda;Santana de Parnaiba
GG & FG Consultores Associados Ltda. - EPP;Campinas
Presense - Pesquisa e Desenvolvimento Ltda;Araraquara
Geoondas Inovacões Geofisicas e Big Data Ltda;Sao Paulo
Biblioteca de Compostos Orgânicos Pesquisas e Analises em Quimica;Campinas
Autoscience Technologies Projetos e Consultoria Ltda;Sao Paulo
PRM de Araújo;Sao Paulo
Kerno Geo Solucões Ltda;Sao Paulo
Mocap Brasil Servicos em Tecnologia Ltda;Diadema
Cristina Vaz Avelar de Carvalho;Sao Vicente
Cipolli Automacao e Manutencao Ltda. - ME;Sao Carlos
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Nathalia Camillo da Silva;Sao Carlos
Dsma Desenvolvimento Sustentavel e Monitoramento Ambiental Ltda. - EPP;Mogi das Cruzes
Inframax Engenharia, Comercio e Servicos Ltda;Campinas
AGA Consultoria e Desenvolvimento de Projetos Tecnico-Cientificos Ltda. - ME;Sao Jose do Rio Preto
Innovare Biotecnologia e Saúde Animal Ltda;Monte Aprazivel
Centro Tecnico de Avaliacao Genetica Ltda. - EPP;Ribeirao Preto
Nanox Tecnologia S/A;Sao Carlos
J&F Engenharia, Comercio e Servicos Eletromecânicos Ltda. - ME;Campinas
Afinko Solucões em Polimeros Ltda;Sao Carlos
Siaa Desenvolvimento de Sistemas Eireli - ME;Sao Paulo
CFLEX MPC Desenvolvimento e Comercializacao de Sistemas Limitada;Campinas
Metamorphosis Biotechnology Pesquisas Cientificas Eireli;Sao Paulo
Mariana Maria Aparecida Pinto Hernandes;Sao Paulo
Rafael Nunes da Silva;Sao Bernardo do Campo
Clarus Technology do Brasil Ltda;Americana
Radaz Indústria e Comercio de Produtos Eletronicos Ltda;Sao Jose dos Campos
Fit Comercio, Importacao e Exportacao de Maquinas e Equipamentos Odonto-Medicos Hospitalares e Laboratoriais Ltda;Sao Carlos
Celluris Participacões Ltda;Sao Paulo
Eco Biotech Tecnologia em Manutencao Ltda. - ME;Ribeirao Preto
NGS Solucões Genomicas Eireli - ME;Piracicaba
Convet Reproducao e Saúde Animal Ltda;Brotas
OMNI Eletronica, Engenharia e Comercio Ltda;Sao Paulo
Neuralmind Inteligencia Artificial Ltda;Campinas
DRSC Solucões Tecnologicas Inteligentes Ltda;Sao Paulo
Eliza Massako Akiyama Ota;Sao Paulo
Reciclapac Solucões para Embalagens Ltda;Sao Paulo
Kosmoscience Consultoria e Assessoria Tecnica em Cosmeticos Ltda (KosmoScience);Valinhos
Nanochemtech Pesquisa e Desenvolvimento em Biomateriais Ltda;Sao Jose do Rio Preto
Alchemy Inovacao, Pesquisa e Desenvolvimento Ltda;Santana de Parnaiba
Hyco Compostos Hibridos Eireli - ME;Sao Carlos
Cenic Engenharia Indústria e Comercio Ltda;Sao Jose dos Campos
Promip Comercio, Pesquisas e Desenvolvimento de Agentes Biologicos Ltda (PROMIP);Engenheiro Coelho
Audrew Frimaio;Sao Bernardo do Campo
Koppert do Brasil Sistemas Biologicos Ltda;Piracicaba
Bioware Desenvolvimento e Tecnologia em Energia e Meio Ambiente Ltda;Campinas
Green Wax - Research and Innovation on Sugarcane by Products Ltda;Araraquara
KPG Comercio e Servicos Ltda. - ME;Sorocaba
Bioativos Naturais Ltda. - ME;Sao Paulo
Data14 - Consultoria Academica e Comunicacao Ltda;Sao Paulo
Cogsign Ltda;Sao Paulo
Geoondas Inovacões Geofisicas e Big Data Ltda;Sao Paulo
Autaza Tecnologia S/A;Sao Jose dos Campos
Mispa Assessoria e Consultoria Empresarial - Eireli;Sao Paulo
LHColus Tecnologia Ltda. - ME;Sao Jose dos Campos
Pondera Engenharia Ltda;Sao Carlos
G Drones Importacao e Comercio Eireli - EPP;Sao Paulo
MRA Indústria de Equipamentos Eletronicos Ltda;Ribeirao Preto
Nova Sun - Sim Energias Renovaveis Ltda. - ME;Mogi das Cruzes
IDGeo Inteligencia em Dados Geograficos Ltda;Piracicaba
Medical Systems Instruments Indústria e Comercio Ltda. - ME;Jambeiro
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Sao Paulo
Cowboy Solucões Integradas para o Agronegocio Ltda;Campinas
Agilent Technologies Brasil Ltda (Agilent);Campinas
Paix Medical Instruments Instrumentos Medicos Ltda;Sao Jose dos Campos
Milenio Bus Ltda;Sao Paulo
Pan-Metal Indústria Metalúrgica Ltda;Sao Paulo
MGov Brasil Consultoria em Gestao de Politicas Públicas Ltda;Sao Paulo
Timpel S/A;Sao Paulo
Ursula Luana Rochetto Doubek - ME;Campinas
Visiona Tecnologia Espacial S/A;Sao Jose dos Campos
Indústria de Artefatos de Borracha Esper Ltda;Sao Paulo
Allagi Engenharia Ltda. - EPP;Sao Paulo
Rafael Fernando dos Santos;Botucatu
Biologix Sistemas Ltda;Sao Paulo
DMA Indústria e Tecnologia Eireli - EPP;Campinas
Timpel S/A;Sao Paulo
One Sports Ltda. - ME;Sorocaba
Solucões e Instrumentacões Avancadas Ltda. - ME;Sao Paulo
Onkos Diagnosticos Moleculares Ltda. - ME;Ribeirao Preto
PRINTGREEN3D Comercio de Equipamentos Ltda. - ME;Sao Paulo
Refractory Eco Design Desenvolvimento de Projetos Ltda. - ME;Sao Carlos
Genotyping Laboratorio de Biotecnologia Ltda (Genotyping);Botucatu
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Elabora Biosolutions Bioengenharia Bioprocessos e Inovacao Ltda;Campinas
Itera Inovacao e Desenvolvimento Tecnologico Ltda. - ME;Sao Carlos
Tau Flow Engenharia;Campinas
GPTI - Gestao de Projetos em Tecnologia Industrial S/S Ltda. - ME;Sao Carlos
Fisher Piscicultura agua Vermelha Ltda;Riolândia
Machiron Desenvolvimento de Sistemas Ltda;Sao Paulo
Essado de Morais Ltda. - ME;Franca
WSGB Laboratorios Ltda;Sao Carlos
Breng Engenharia e Tecnologia Ltda;Sao Jose dos Campos
Global Pet Reciclagem Ltda. - EPP;Sao Carlos
Cron Sistemas e Tecnologias Ltda. - EPP;Sao Jose dos Campos
Rossam Nutricao e Servicos Ltda;Santo Antonio de Posse
Techduto Indústria e Comercio de Maquinas e Artefatos de Plasticos Ltda;Sao Jose dos Campos
Yosen Indústria e Comercio de Produtos para Saúde Ltda;Ribeirao Preto
Solucões em Biotecnologia 3D - Elaboracao de Projetos Ltda;Campinas
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Sinsel Desenvolvimento de Maquinas e Equipamentos Ltda;Cajamar
Labfauna Diagnostico Veterinario Laboratorial Ltda;Sao Paulo
Kidopi Solucões em Informatica Medica Ltda (Kidopi);Ribeirao Preto
AG Textil Eireli;Americana
Lunus Comercio e Representacao Ltda. (Filial);Sao Jose dos Campos
Go Horti Servicos de Informatica Ltda;Sao Paulo
Wama Produtos para Laboratorio Ltda (WAMA);Sao Carlos
GHD dos Anjos Desenvolvimento de Eletroeletronicos;Sao Jose dos Campos
Optolink Indústria e Comercio Sociedade Ltda;Campinas
Hunter Consulting Group Ltda. - EPP;Campinas
Mercúrio Automacao Ltda. - ME;Campinas
Magnaghi Aeronautica do Brasil Indústria e Comercio Ltda;Sao Jose dos Campos
Tetis Tecnologias Aquaticas Ltda;Sao Paulo
FK - Brasil Engenharia e Comercio de Aeronaves Ltda;Sao Jose dos Campos
GPTI - Gestao de Projetos em Tecnologia Industrial S/S Ltda. - ME;Sao Carlos
Felipe Wilker Grillo - ME;Ribeirao Preto
Altamar Comercio e Servicos de Equipamentos Aquaticos Ltda. - EPP;Santos
Sensorial Desenvolvimento de Software Ltda. - ME;Ribeirao Preto
Stratelli Inteligencia Estrategica Ltda. - EPP;Marilia
SciPet Solucões em Inovacao Tecnologica Ltda;Campinas
FCA Brasil Indústria, Comercio e Usinagem de Pecas Ltda. EPP;Campinas
Agricef Solucões Tecnologicas para Agricultura Ltda (Agricef);Campinas
Biocontrol Sistema de Controle Biologico Ltda;Sertaozinho
Fibraforte Engenharia Indústria e Comercio Ltda;Sao Jose dos Campos
Fibraforte Engenharia Indústria e Comercio Ltda;Sao Jose dos Campos
Fibraforte Engenharia Indústria e Comercio Ltda;Sao Jose dos Campos
Eleve Science Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Algaetech Pesquisa Ltda. - ME;Sao Carlos
Hi Tec Indústria e Comercio de Produtos Quimicos Ltda;Indaiatuba
Stresscan Agrobusiness Intelligence Ltda;Presidente Prudente
Phelcom Technologies Ltda. - ME;Sao Carlos
Chemyunion Ltda;Sorocaba
Nanox Tecnologia S/A;Sao Carlos
Rheabiotec Desenvolvimento, Producao e Comercializacao de Produtos de Biotecnologia Ltda (Rheabiotec);Campinas
PDT Pharma Indústria e Comercio de Produtos Farmaceuticos Ltda. - EPP;Cravinhos
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Neguebe Quimica e Biologica Ltda;Sao Paulo
Natanael Pinheiro Leitao Junior - ME;Sao Paulo
Surface - Engenharia e Solucões a Plasma Ltda;Campinas
Biobreyer Pesquisa e Desenvolvimento Cientifico Ltda;Santos
Green Technologies Projetos Agroindustriais S/C Ltda;Campinas
